Date,Bitcoin
2015-01-01,3.0
2015-01-02,3.0
2015-01-03,3.0
2015-01-04,3.0
2015-01-05,3.0
2015-01-06,3.0
2015-01-07,3.0
2015-01-08,3.0
2015-01-09,3.0
2015-01-10,3.0
2015-01-11,3.0
2015-01-12,3.0
2015-01-13,3.0
2015-01-14,3.0
2015-01-15,3.0
2015-01-16,3.0
2015-01-17,3.0
2015-01-18,3.0
2015-01-19,3.0
2015-01-20,3.0
2015-01-21,3.0
2015-01-22,3.0
2015-01-23,3.0
2015-01-24,3.0
2015-01-25,3.0
2015-01-26,3.0
2015-01-27,3.0
2015-01-28,3.0
2015-01-29,3.0
2015-01-30,3.0
2015-01-31,3.0
2015-02-01,2.0
2015-02-02,2.125
2015-02-03,2.125
2015-02-04,0.75
2015-02-05,0.875
2015-02-06,1.1875
2015-02-07,1.25
2015-02-08,1.75
2015-02-09,1.4375
2015-02-10,1.3125
2015-02-11,1.25
2015-02-12,0.9375
2015-02-13,1.0
2015-02-14,1.625
2015-02-15,1.3125
2015-02-16,1.3125
2015-02-17,1.5625
2015-02-18,1.5625
2015-02-19,1.0
2015-02-20,0.0
2015-02-21,0.3125
2015-02-22,1.9375
2015-02-23,1.4375
2015-02-24,1.625
2015-02-25,1.5
2015-02-26,2.1875
2015-02-27,1.5
2015-02-28,1.75
2015-03-01,2.0
2015-03-02,2.0
2015-03-03,2.0
2015-03-04,2.0
2015-03-05,2.0
2015-03-06,2.0
2015-03-07,2.0
2015-03-08,2.0
2015-03-09,2.0
2015-03-10,2.0
2015-03-11,2.0
2015-03-12,2.0
2015-03-13,2.0
2015-03-14,2.0
2015-03-15,2.0
2015-03-16,2.0
2015-03-17,2.0
2015-03-18,2.0
2015-03-19,2.0
2015-03-20,2.0
2015-03-21,2.0
2015-03-22,2.0
2015-03-23,2.0
2015-03-24,2.0
2015-03-25,2.0
2015-03-26,2.0
2015-03-27,2.0
2015-03-28,2.0
2015-03-29,2.0
2015-03-30,2.0
2015-03-31,2.0
2015-04-01,2.0
2015-04-02,2.0
2015-04-03,2.0
2015-04-04,2.0
2015-04-05,2.0
2015-04-06,2.0
2015-04-07,2.0
2015-04-08,2.0
2015-04-09,2.0
2015-04-10,2.0
2015-04-11,2.0
2015-04-12,2.0
2015-04-13,2.0
2015-04-14,2.0
2015-04-15,2.0
2015-04-16,2.0
2015-04-17,2.0
2015-04-18,2.0
2015-04-19,2.0
2015-04-20,2.0
2015-04-21,2.0
2015-04-22,2.0
2015-04-23,2.0
2015-04-24,2.0
2015-04-25,2.0
2015-04-26,2.0
2015-04-27,2.0
2015-04-28,2.0
2015-04-29,2.0
2015-04-30,2.0
2015-05-01,2.0
2015-05-02,2.0
2015-05-03,2.0
2015-05-04,2.0
2015-05-05,2.0
2015-05-06,2.0
2015-05-07,2.0
2015-05-08,2.0
2015-05-09,2.0
2015-05-10,2.0
2015-05-11,2.0
2015-05-12,2.0
2015-05-13,2.0
2015-05-14,2.0
2015-05-15,2.0
2015-05-16,2.0
2015-05-17,2.0
2015-05-18,2.0
2015-05-19,2.0
2015-05-20,2.0
2015-05-21,2.0
2015-05-22,2.0
2015-05-23,2.0
2015-05-24,2.0
2015-05-25,2.0
2015-05-26,2.0
2015-05-27,2.0
2015-05-28,2.0
2015-05-29,2.0
2015-05-30,2.0
2015-05-31,2.0
2015-06-01,2.0
2015-06-02,2.0
2015-06-03,2.0
2015-06-04,2.0
2015-06-05,2.0
2015-06-06,2.0
2015-06-07,2.0
2015-06-08,2.0
2015-06-09,2.0
2015-06-10,2.0
2015-06-11,2.0
2015-06-12,2.0
2015-06-13,2.0
2015-06-14,2.0
2015-06-15,2.0
2015-06-16,2.0
2015-06-17,2.0
2015-06-18,2.0
2015-06-19,2.0
2015-06-20,2.0
2015-06-21,2.0
2015-06-22,2.0
2015-06-23,2.0
2015-06-24,2.0
2015-06-25,2.0
2015-06-26,2.0
2015-06-27,2.0
2015-06-28,2.0
2015-06-29,2.0
2015-06-30,2.0
2015-07-01,2.0
2015-07-02,2.0
2015-07-03,2.0
2015-07-04,2.0
2015-07-05,2.0
2015-07-06,2.0
2015-07-07,2.0
2015-07-08,2.0
2015-07-09,2.0
2015-07-10,2.0
2015-07-11,2.0
2015-07-12,2.0
2015-07-13,2.0
2015-07-14,2.0
2015-07-15,2.0
2015-07-16,2.0
2015-07-17,2.0
2015-07-18,2.0
2015-07-19,2.0
2015-07-20,2.0
2015-07-21,2.0
2015-07-22,2.0
2015-07-23,2.0
2015-07-24,2.0
2015-07-25,2.0
2015-07-26,2.0
2015-07-27,2.0
2015-07-28,2.0
2015-07-29,2.0
2015-07-30,2.0
2015-07-31,2.0
2015-08-01,2.0
2015-08-02,2.0
2015-08-03,2.0
2015-08-04,2.0
2015-08-05,2.0
2015-08-06,2.0
2015-08-07,2.0
2015-08-08,2.0
2015-08-09,2.0
2015-08-10,2.0
2015-08-11,2.0
2015-08-12,2.0
2015-08-13,2.0
2015-08-14,2.0
2015-08-15,2.0
2015-08-16,2.0
2015-08-17,2.0
2015-08-18,2.0
2015-08-19,2.0
2015-08-20,2.0
2015-08-21,2.0
2015-08-22,2.0
2015-08-23,2.0
2015-08-24,2.0
2015-08-25,2.0
2015-08-26,2.0
2015-08-27,2.0
2015-08-28,2.0
2015-08-29,2.0
2015-08-30,2.0
2015-08-31,2.0
2015-09-01,2.0
2015-09-02,2.0
2015-09-03,2.0
